series,bin_center_m,density_raw,density_smoothed
BEVMapMatch-CAF,4.675,0.0230813618,0.0223046194
BEVMapMatch-CAF,4.725,0.0288517023,0.0229501737
BEVMapMatch-CAF,4.775,0.0173110214,0.0183704420
BEVMapMatch-CAF,4.825,0.0115406809,0.0125011529
BEVMapMatch-CAF,4.875,0.0057703405,0.0092636051
BEVMapMatch-CAF,4.925,0.0115406809,0.0080985766
BEVMapMatch-CAF,4.975,0.0057703405,0.0054587099
BEVMapMatch-BEVFusion,0.025,0.0382848392,0.0512309703
BEVMapMatch-BEVFusion,0.075,0.1071975498,0.1084470561
BEVMapMatch-BEVFusion,0.125,0.1607963247,0.1826603875
BEVMapMatch-BEVFusion,0.175,0.2986217458,0.2603364360
BEVMapMatch-BEVFusion,0.225,0.3062787136,0.3197963782
BEVMapMatch-BEVFusion,0.275,0.3751914242,0.3732809423
BEVMapMatch-BEVFusion,0.325,0.4287901991,0.4299460050
BEVMapMatch-BEVFusion,0.375,0.4900459418,0.4892323278
BEVMapMatch-BEVFusion,0.425,0.5283307810,0.5663596850
BEVMapMatch-BEVFusion,0.475,0.6814701378,0.6694977050
BEVMapMatch-BEVFusion,0.525,0.8116385911,0.7578822419
BEVMapMatch-BEVFusion,0.575,0.7503828484,0.8226707989
BEVMapMatch-BEVFusion,0.625,0.9800918836,0.8811525202
BEVMapMatch-BEVFusion,0.675,0.8575803982,0.8997829932
BEVMapMatch-BEVFusion,0.725,0.9264931087,0.8982778806
BEVMapMatch-BEVFusion,0.775,0.8958652374,0.8819974666
BEVMapMatch-BEVFusion,0.825,0.8116385911,0.8629725481
BEVMapMatch-BEVFusion,0.875,0.9188361409,0.8476850627
BEVMapMatch-BEVFusion,0.925,0.7963246554,0.7867074124
BEVMapMatch-BEVFusion,0.975,0.6814701378,0.6934515199
BEVMapMatch-BEVFusion,1.025,0.5742725881,0.6280869741
BEVMapMatch-BEVFusion,1.075,0.6278713629,0.6089019332
BEVMapMatch-BEVFusion,1.125,0.5972434916,0.5941845159
BEVMapMatch-BEVFusion,1.175,0.6049004594,0.5406515603
