Epoch [32/60], Train Loss: 0.0136, Top-4 Train Acc: 99.98%, Top-1/2/3 Train Acc: 99.84%/99.95%/99.97%, Val Loss: 0.1495, Top-4 Val Acc: 90.59%, Top-1/2/3 Val Acc: 80.01%/86.41%/89.39%, Train IoU: 93.17, Val IoU: 58.78
Epoch [33/60], Train Loss: 0.0131, Top-4 Train Acc: 99.99%, Top-1/2/3 Train Acc: 99.85%/99.97%/99.98%, Val Loss: 0.1520, Top-4 Val Acc: 90.83%, Top-1/2/3 Val Acc: 80.38%/86.81%/89.86%, Train IoU: 93.21, Val IoU: 58.87
Epoch [34/60], Train Loss: 0.0122, Top-4 Train Acc: 99.98%, Top-1/2/3 Train Acc: 99.87%/99.98%/99.98%, Val Loss: 0.1501, Top-4 Val Acc: 91.20%, Top-1/2/3 Val Acc: 80.28%/86.51%/89.79%, Train IoU: 93.75, Val IoU: 58.90
Epoch [35/60], Train Loss: 0.0114, Top-4 Train Acc: 99.98%, Top-1/2/3 Train Acc: 99.85%/99.97%/99.98%, Val Loss: 0.1530, Top-4 Val Acc: 91.56%, Top-1/2/3 Val Acc: 80.68%/87.35%/90.32%, Train IoU: 94.42, Val IoU: 59.81
Epoch [36/60], Train Loss: 0.0109, Top-4 Train Acc: 100.00%, Top-1/2/3 Train Acc: 99.86%/99.98%/100.00%, Val Loss: 0.1639, Top-4 Val Acc: 90.39%, Top-1/2/3 Val Acc: 79.38%/85.54%/89.09%, Train IoU: 94.63, Val IoU: 58.81
Epoch [37/60], Train Loss: 0.0103, Top-4 Train Acc: 99.98%, Top-1/2/3 Train Acc: 99.88%/99.96%/99.98%, Val Loss: 0.1604, Top-4 Val Acc: 90.89%, Top-1/2/3 Val Acc: 81.02%/87.31%/89.92%, Train IoU: 95.00, Val IoU: 59.61
Epoch [38/60], Train Loss: 0.0102, Top-4 Train Acc: 99.99%, Top-1/2/3 Train Acc: 99.88%/99.98%/99.99%, Val Loss: 0.1681, Top-4 Val Acc: 90.96%, Top-1/2/3 Val Acc: 80.31%/86.51%/89.62%, Train IoU: 95.27, Val IoU: 59.56
Epoch [39/60], Train Loss: 0.0087, Top-4 Train Acc: 100.00%, Top-1/2/3 Train Acc: 99.94%/99.98%/99.99%, Val Loss: 0.1745, Top-4 Val Acc: 91.13%, Top-1/2/3 Val Acc: 80.62%/86.64%/89.62%, Train IoU: 96.05, Val IoU: 59.06
Epoch [40/60], Train Loss: 0.0084, Top-4 Train Acc: 100.00%, Top-1/2/3 Train Acc: 99.94%/99.99%/100.00%, Val Loss: 0.1759, Top-4 Val Acc: 90.56%, Top-1/2/3 Val Acc: 80.21%/86.47%/89.35%, Train IoU: 96.08, Val IoU: 59.56
Epoch [41/60], Train Loss: 0.0081, Top-4 Train Acc: 100.00%, Top-1/2/3 Train Acc: 99.97%/99.98%/100.00%, Val Loss: 0.1862, Top-4 Val Acc: 90.76%, Top-1/2/3 Val Acc: 80.18%/86.31%/89.49%, Train IoU: 96.20, Val IoU: 58.82
Epoch [42/60], Train Loss: 0.0074, Top-4 Train Acc: 100.00%, Top-1/2/3 Train Acc: 99.96%/100.00%/100.00%, Val Loss: 0.1904, Top-4 Val Acc: 90.89%, Top-1/2/3 Val Acc: 80.31%/86.47%/89.82%, Train IoU: 96.78, Val IoU: 59.30
Epoch [43/60], Train Loss: 0.0072, Top-4 Train Acc: 99.99%, Top-1/2/3 Train Acc: 99.98%/99.99%/99.99%, Val Loss: 0.1919, Top-4 Val Acc: 91.03%, Top-1/2/3 Val Acc: 80.65%/86.58%/89.69%, Train IoU: 96.83, Val IoU: 59.44
Epoch [44/60], Train Loss: 0.0062, Top-4 Train Acc: 99.99%, Top-1/2/3 Train Acc: 99.97%/99.98%/99.99%, Val Loss: 0.1988, Top-4 Val Acc: 90.96%, Top-1/2/3 Val Acc: 80.21%/86.14%/89.35%, Train IoU: 97.27, Val IoU: 58.83
Epoch [45/60], Train Loss: 0.0062, Top-4 Train Acc: 100.00%, Top-1/2/3 Train Acc: 99.98%/100.00%/100.00%, Val Loss: 0.2128, Top-4 Val Acc: 90.49%, Top-1/2/3 Val Acc: 79.34%/85.34%/88.99%, Train IoU: 97.33, Val IoU: 58.97
Epoch [46/60], Train Loss: 0.0053, Top-4 Train Acc: 99.99%, Top-1/2/3 Train Acc: 99.97%/99.98%/99.99%, Val Loss: 0.2065, Top-4 Val Acc: 90.76%, Top-1/2/3 Val Acc: 80.25%/86.04%/89.39%, Train IoU: 97.86, Val IoU: 59.10
